Iteration, FED
0, -108.13116733844265
1, -108.51187273221691
2, -108.72291305780543
3, -108.85322134783036
4, -108.94066540365145
5, -109.00315826339718
6, -109.05000346256607
7, -109.0864334957458
8, -109.11559243178924
9, -109.13947538023204
10, -109.15940690917503
11, -109.17630030223954
12, -109.19080571498601
13, -109.20339877736794
14, -109.2144356972491
15, -109.22418871790882
16, -109.23286962652715
17, -109.24064575823165
18, -109.24765115083322
19, -109.25399448505155
20, -109.25976484435725
21, -109.26503596486
22, -109.26986941958889
23, -109.2743170377495
24, -109.27842276608611
25, -109.28222411755819
26, -109.28575331069828
27, -109.28903817436351
28, -109.29210287256
29, -109.29496848987029
30, -109.29765350787106
31, -109.30017419557406
32, -109.30254493148412
33, -109.30477847088467
34, -109.30688616893819
35, -109.3088781678951
36, -109.31076355499297
37, -109.31255049626259
38, -109.31424635043089
39, -109.31585776629929
40, -109.31739076632162
41, -109.31885081863315
42, -109.32024289933337
43, -109.32157154653918
44, -109.32284090745466
45, -109.32405477948937
46, -109.3252166462742
47, -109.32632970932063
48, -109.32739691591176
49, -109.32842098374503
50, -109.32940442276174
51, -109.33034955452786
52, -109.33125852948722
53, -109.33213334235016
54, -109.33297584585127
55, -109.33378776307256
56, -109.33457069851397
57, -109.33532614803879
58, -109.33605550784485
59, -109.33676008255897
60, -109.33744109255613
61, -109.33809968059369
62, -109.33873691782587
63, -109.3393538092714
64, -109.33995129879052
65, -109.34053027361904
66, -109.34109156850613
67, -109.34163596950211
68, -109.34216421741718
69, -109.34267701099377
70, -109.34317500981976
71, -109.34365883700053
72, -109.34412908162014
73, -109.34458630100393
74, -109.3450310228076
75, -109.34546374694037
76, -109.3458849473464
77, -109.34629507364801
78, -109.34669455266945
79, -109.34708378984634
80, -109.34746317053369
81, -109.34783306121983
82, -109.34819381065249
83, -109.348545750891
84, -109.3488891982775
85, -109.34922445434921
86, -109.34955180668173
87, -109.34987152968314
88, -109.35018388532463
89, -109.35048912383844
90, -109.3507874843536
91, -109.35107919550279
92, -109.35136447598559
93, -109.35164353509458
94, -109.35191657321495
95, -109.35218378228541
96, -109.35244534623521
97, -109.35270144139388
98, -109.35295223687821
99, -109.35319789494794
100, -109.3534385713548
101, -109.35367441565903
102, -109.3539055715279
103, -109.35413217702896
104, -109.35435436488879
105, -109.35457226275412
106, -109.35478599342852
107, -109.3549956750943
108, -109.3552014215347
109, -109.35540334232472
110, -109.35560154303168
111, -109.35579612539239
112, -109.35598718748106
113, -109.35617482387542
114, -109.35635912581041
115, -109.35654018132043
116, -109.35671807538152
117, -109.35689289003908
118, -109.35706470453324
119, -109.35723359541882
120, -109.35739963667665
121, -109.35756289981796
122, -109.35772345399042
123, -109.3578813660699
124, -109.35803670075674
125, -109.3581895206608
126, -109.35833988638387
127, -109.35848785660328
128, -109.35863348814271
129, -109.3587768360456
130, -109.35891795364822
131, -109.35905689263977
132, -109.35919370312753
133, -109.35932843369683
134, -109.35946113146727
135, -109.35959184214973
136, -109.35972061009429
137, -109.35984747834549
138, -109.3599724886849
139, -109.36009568168082
140, -109.36021709673058
141, -109.36033677210115
142, -109.36045474496949
143, -109.36057105146438
144, -109.36068572669862
145, -109.36079880480655
146, -109.36091031897766
147, -109.36102030148847
148, -109.361128783736
149, -109.36123579626074
150, -109.36134136878545
151, -109.36144553023627
152, -109.36154830876738
153, -109.36164973179044
154, -109.36174982599906
155, -109.36184861739058
156, -109.36194613128644
157, -109.36204239235981
158, -109.36213742464872
159, -109.36223125158374
160, -109.36232389600188
161, -109.36241538016667
162, -109.36250572578794
163, -109.3625949540358
164, -109.36268308555756
165, -109.36277014049959
166, -109.36285613851246
167, -109.36294109877555
168, -109.36302504000327
169, -109.36310798046487
170, -109.36318993799544
171, -109.36327093000921
172, -109.36335097350906
173, -109.36343008510292
174, -109.36350828101288
175, -109.36358557708544
176, -109.36366198880505
177, -109.36373753130215
178, -109.36381221936415
179, -109.36388606744366
180, -109.36395908967069
181, -109.36403129985867
182, -109.36410271151554
183, -109.36417333785127
184, -109.36424319178461
185, -109.36431228595416
186, -109.36438063272266
187, -109.36444824418692
188, -109.36451513218371
189, -109.36458130829679
190, -109.3646467838662
191, -109.3647115699867
192, -109.36477567752605
193, -109.36483911712192
194, -109.36490189918928
195, -109.36496403393141
196, -109.36502553133786
197, -109.3650864011957
198, -109.36514665309228
199, -109.36520629642004
200, -109.36526534038202
201, -109.36532379399662
202, -109.36538166610293
203, -109.36543896536341
204, -109.36549570026989
205, -109.36555187914797
206, -109.3656075101572
207, -109.36566260130168
208, -109.36571716042889
209, -109.36577119523518
210, -109.36582471326753
211, -109.36587772193127
212, -109.36593022849038
213, -109.36598224006975
214, -109.366033763662
215, -109.36608480612703
216, -109.36613537419791
217, -109.36618547448157
218, -109.36623511346541
219, -109.36628429751424
220, -109.36633303287789
221, -109.3663813256923
222, -109.36642918198213
223, -109.36647660766194
224, -109.36652360854198
225, -109.36657019032684
226, -109.36661635862093
227, -109.36666211892764
228, -109.36670747665354
229, -109.3667524371116
230, -109.36679700552014
231, -109.36684118700681
232, -109.3668849866114
233, -109.36692840928482
234, -109.36697145989466
235, -109.36701414322395
236, -109.36705646397421
237, -109.36709842676844
238, -109.36714003614816
239, -109.36718129658401
240, -109.36722221246599
241, -109.36726278811436
242, -109.36730302777598
243, -109.36734293562829
244, -109.36738251577928
245, -109.36742177226881
246, -109.36746070907351
247, -109.36749933010114
248, -109.36753763919978
249, -109.36757564015319
250, -109.36761333668561
251, -109.36765073246055
252, -109.36768783108339
253, -109.3677246361029
254, -109.36776115101011
255, -109.36779737924319
256, -109.36783332418608
257, -109.36786898916637
258, -109.36790437746359
259, -109.36793949230577
260, -109.36797433686993
261, -109.36800891428507
262, -109.36804322763186
263, -109.36807727994363
264, -109.36811107420799
265, -109.36814461336753
266, -109.36817790032019
267, -109.36821093791947
268, -109.36824372897733
269, -109.36827627626312
270, -109.36830858250475
271, -109.36834065039089
272, -109.36837248256961
273, -109.36840408164909
274, -109.36843545020238
275, -109.36846659076204
276, -109.36849750582363
277, -109.36852819784991
278, -109.36855866926453
279, -109.36858892245716
280, -109.36861895978498
281, -109.36864878356883
282, -109.36867839609971
283, -109.36870779963178
284, -109.36873699639324
285, -109.36876598857499
286, -109.36879477834177
287, -109.36882336782458
288, -109.36885175912711
289, -109.36887995432329
290, -109.36890795545712
291, -109.36893576454642
292, -109.36896338358021
293, -109.3689908145197
294, -109.36901805930103
295, -109.36904511983296
296, -109.36907199799865
297, -109.36909869565497
298, -109.36912521463456
299, -109.36915155674725
300, -109.36917772377458
301, -109.3692037174785
302, -109.3692295395954
303, -109.36925519183795
304, -109.36928067589973
305, -109.36930599344778
306, -109.36933114612991
307, -109.36935613557176
308, -109.36938096337924
309, -109.3694056311333
310, -109.36943014040004
311, -109.36945449272088
312, -109.36947868961994
313, -109.3695027326005
314, -109.369526623148
315, -109.36955036272713
316, -109.36957395278718
317, -109.36959739475479
318, -109.36962069004161
319, -109.36964384004159
320, -109.36966684612975
321, -109.36968970966481
322, -109.36971243198934
323, -109.36973501442753
324, -109.36975745828819
325, -109.3697797648652
326, -109.36980193543324
327, -109.36982397125462
328, -109.36984587357544
329, -109.36986764362588
330, -109.36988928262075
331, -109.36991079176279
332, -109.36993217223673
333, -109.36995342521561
334, -109.36997455185715
335, -109.36999555330594
336, -109.37001643069343
337, -109.37003718513596
338, -109.37005781773755
339, -109.3700783295891
340, -109.37009872176927
341, -109.37011899534438
342, -109.37013915136612
343, -109.37015919087604
344, -109.3701791149011
345, -109.37019892446038
346, -109.3702186205575
347, -109.37023820418614
348, -109.3702576763285
349, -109.37027703795515
350, -109.37029629002538
351, -109.3703154334876
352, -109.37033446928154
353, -109.37035339833228
354, -109.37037222155821
355, -109.3703909398636
356, -109.37040955414736
357, -109.37042806529331
358, -109.37044647418027
359, -109.37046478167223
360, -109.3704829886282
361, -109.37050109589387
362, -109.37051910430937
363, -109.37053701470093
364, -109.3705548278906
365, -109.3705725446879
366, -109.37059016589515
367, -109.37060769230476
368, -109.37062512470162
369, -109.37064246386227
370, -109.37065971055368
371, -109.37067686553539
372, -109.37069392955877
373, -109.37071090336617
374, -109.37072778769378
375, -109.37074458326722
376, -109.37076129080884
377, -109.37077791102845
378, -109.37079444463063
379, -109.3708108923125
380, -109.37082725476468
381, -109.37084353266827
382, -109.37085972669938
383, -109.37087583752559
384, -109.37089186580808
385, -109.37090781220164
386, -109.37092367735372
387, -109.3709394619054
388, -109.37095516649072
389, -109.37097079173682
390, -109.37098633826572
391, -109.3710018066926
392, -109.3710171976256
393, -109.37103251166702
394, -109.37104774941366
395, -109.37106291145612
396, -109.37107799837793
397, -109.3710930107576
398, -109.37110794916856
399, -109.37112281417684
400, -109.37113760634396
401, -109.37115232622591
402, -109.37116697437258
403, -109.37118155132818
404, -109.37119605763178
405, -109.37121049381862
406, -109.37122486041564
407, -109.37123915794704
408, -109.37125338693122
409, -109.37126754788147
410, -109.3712816413059
411, -109.37129566770719
412, -109.37130962758441
413, -109.37132352143107
414, -109.37133734973574
415, -109.37135111298204
416, -109.37136481165048
417, -109.37137844621378
418, -109.37139201714452
419, -109.37140552490722
420, -109.37141896996378
421, -109.37143235277028
422, -109.37144567378024
423, -109.37145893344032
424, -109.37147213219698
425, -109.3714852704877
426, -109.3714983487504
427, -109.371511367415
428, -109.37152432691006
429, -109.371537227658
430, -109.37155007007989
431, -109.37156285459115
432, -109.37157558160376
433, -109.37158825152514
434, -109.37160086475981
435, -109.37161342170849
436, -109.37162592276792
437, -109.37163836833221
438, -109.37165075879003
439, -109.37166309452859
440, -109.37167537592889
441, -109.37168760337062
442, -109.3716997772308
443, -109.37171189788069
444, -109.3717239656891
445, -109.37173598102187
446, -109.37174794424016
447, -109.37175985570485
448, -109.3717717157715
449, -109.37178352479113
450, -109.3717952831158
451, -109.37180699108977
452, -109.37181864905712
453, -109.37183025735804
454, -109.37184181633009
455, -109.3718533263078
456, -109.37186478762194
457, -109.37187620060163
458, -109.37188756557151
459, -109.37189888285545
460, -109.37191015277318
461, -109.3719213756405
462, -109.37193255177287
463, -109.37194368148306
464, -109.37195476507794
465, -109.37196580286472
466, -109.37197679514718
467, -109.37198774222675
468, -109.37199864440124
469, -109.37200950196699
470, -109.37202031521666
